data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1930,France,Mexico,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,United States,Belgium,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Yugoslavia,Brazil,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Romania,Peru,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Argentina,France,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Chile,Mexico,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Yugoslavia,Bolivia,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,United States,Paraguay,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Uruguay,Peru,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Chile,France,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Argentina,Mexico,6Ð3,6,3,3,-3,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Brazil,Bolivia,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Paraguay,Belgium,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Uruguay,Romania,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Argentina,Chile,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Argentina,United States,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Uruguay,Yugoslavia,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1930,Uruguay,Argentina,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,Uruguay,Uruguay,1,13
1934,Austria,France,3Ð2,3,2,1,-1,1,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Czechoslovakia,Romania,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Germany,Belgium,5Ð2,5,2,3,-3,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Hungary,Egypt,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Italy,United States,7Ð1,7,1,6,-6,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Spain,Brazil,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Sweden,Argentina,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Switzerland,Netherlands,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Austria,Hungary,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Czechoslovakia,Switzerland,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Germany,Sweden,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Italy,Spain,1Ð1,1,1,0,0,1,0,0-0,0,0,0,0,1,Italy,Italy,1,16
1934,Italy,Spain,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Czechoslovakia,Germany,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Italy,Austria,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Germany,Austria,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1934,Italy,Czechoslovakia,2Ð1,2,1,1,-1,1,0,0-0,0,0,1,0,0,Italy,Italy,1,16
1938,Switzerland,Germany,1Ð1,1,1,0,0,1,0,0-0,0,0,0,0,1,France,Italy,0,15
1938,Cuba,Romania,3Ð3,3,3,0,0,1,0,0-0,0,0,0,0,1,France,Italy,0,15
1938,France,Belgium,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Hungary,Dutch East Indies,6Ð0,6,0,6,-6,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Italy,Norway,2Ð1,2,1,1,-1,1,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Brazil,Poland,6Ð5,6,5,1,-1,1,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Czechoslovakia,Netherlands,3Ð0,3,0,3,-3,1,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Cuba,Romania,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Switzerland,Germany,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Brazil,Czechoslovakia,1Ð1,1,1,0,0,1,0,0-0,0,0,0,0,1,France,Italy,0,15
1938,Hungary,Switzerland,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Italy,France,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Sweden,Cuba,8Ð0,8,0,8,-8,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Brazil,Czechoslovakia,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Hungary,Sweden,5Ð1,5,1,4,-4,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Italy,Brazil,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Brazil,Sweden,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1938,Italy,Hungary,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1950,Brazil,Mexico,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Yugoslavia,Switzerland,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,England,Chile,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Spain,United States,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Sweden,Italy,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
